timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779136577663,6,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-99,text,true,,637,170,100,130,http://localhost:8080/api/public/specialties,6,0,0
1779136576567,1103,S2-R1 GET /api/public/specialties,200,,Escenario 2 — Carga Alta (30 usuarios) 2-15,text,true,,638,170,30,130,http://localhost:8080/api/public/specialties,1103,0,0
1779136575788,1892,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-10,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1889,0,0
1779136576510,1183,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-56,text,true,,831,237,100,130,http://localhost:8080/api/auth/login,1183,0,0
1779136576428,1275,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-8,text,true,,832,237,30,130,http://localhost:8080/api/auth/login,1275,0,0
1779136576419,1292,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-80,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1292,0,0
1779136576474,1266,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-12,text,true,,832,237,30,130,http://localhost:8080/api/auth/login,1266,0,0
1779136576562,1197,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-51,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1197,0,0
1779136576616,1146,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-78,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1141,0,0
1779136576562,1211,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-40,text,true,,831,237,100,130,http://localhost:8080/api/auth/login,1211,0,0
1779136576510,1274,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-36,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1266,0,0
1779136576600,1199,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-92,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1199,0,0
