timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779136577898,1094,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-59,text,true,,831,237,100,130,http://localhost:8080/api/auth/login,1094,0,0
1779136578037,955,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-8,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,955,0,0
1779136577039,1954,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-58,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1954,0,0
1779136578063,932,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-12,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,932,0,0
1779136578992,6,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-59,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,6,0,0
1779136578066,936,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-61,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,936,0,0
1779136578072,933,S2-R1 GET /api/public/specialties,200,,Escenario 2 — Carga Alta (30 usuarios) 2-14,text,true,,638,170,30,130,http://localhost:8080/api/public/specialties,933,0,0
1779136577972,1036,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-26,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1036,0,0
1779136577843,1177,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-74,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1177,0,0
1779136578010,1011,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-7,text,true,,832,237,30,130,http://localhost:8080/api/auth/login,1010,0,0
1779136578087,934,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-35,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,934,0,0
1779136578153,869,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-45,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,868,0,0
1779136578084,940,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-11,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,937,0,0
1779136578184,843,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-73,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,840,0,0
1779136578212,821,S2-R1 GET /api/public/specialties,200,,Escenario 2 — Carga Alta (30 usuarios) 2-8,text,true,,638,170,30,130,http://localhost:8080/api/public/specialties,821,0,0
1779136578191,842,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-71,text,true,,637,170,100,130,http://localhost:8080/api/public/specialties,838,0,0
1779136578010,1025,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-16,text,true,,832,237,30,130,http://localhost:8080/api/auth/login,1024,0,0
1779136578215,850,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-14,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,850,0,0
1779136578223,844,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-68,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,843,0,0
1779136578243,828,S2-R1 GET /api/public/specialties,200,,Escenario 2 — Carga Alta (30 usuarios) 2-12,text,true,,638,170,30,130,http://localhost:8080/api/public/specialties,827,0,0
